Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,N,E,Z
2001-04-03 08:07:00,DLR,1.02,38.98,7.38,-7.8,1.2,7.5
2001-04-03 08:07:00,EKP,1.38,71.17,-2.61,29.3,10.7,38.7
2001-04-03 08:07:00,FCC,1.41,68.97,-1.10,-11.1,-3.4,53.1
2001-04-03 08:07:00,GIM,1.39,66.67,0.77,-66.3,-1.5,39.7
2001-04-03 08:07:00,PIN,1.31,60.56,3.84,-0.9,-22.3,14.3
2001-04-03 08:07:00,RAN,1.57,72.89,-7.77,0.8,33.1,20.0
2001-04-03 08:07:00,TAL,1.18,78.86,-17.12,19.1,30.9,3.9
2001-04-03 08:08:00,BLC,1.10,73.96,-1.39,16.6,24.3,37.8
2001-04-03 08:08:00,BSL,1.98,41.39,0.72,-7.7,0.5,8.0
2001-04-03 08:08:00,DLR,1.03,38.98,7.38,-7.8,1.2,7.5
2001-04-03 08:08:00,EKP,1.40,71.17,-2.61,29.2,9.1,38.5
2001-04-03 08:08:00,FCC,1.43,68.97,-1.10,-15.0,-5.6,54.1
2001-04-03 08:08:00,GIM,1.40,66.67,0.77,-53.2,2.7,29.0
2001-04-03 08:08:00,PIN,1.32,60.56,3.84,-0.8,-21.4,14.8
2001-04-03 08:08:00,RAN,1.58,72.89,-7.77,0.6,32.7,20.5
2001-04-03 08:08:00,TAL,1.20,78.86,-17.12,17.8,31.4,4.3
2001-04-03 08:09:00,BLC,1.11,73.96,-1.39,16.7,23.1,35.8
2001-04-03 08:09:00,BSL,2.00,41.39,0.72,-7.7,0.5,8.0
2001-04-03 08:09:00,DLR,1.05,38.98,7.38,-7.8,1.2,7.5
2001-04-03 08:09:00,EKP,1.41,71.17,-2.61,33.0,8.1,34.2
2001-04-03 08:09:00,FCC,1.45,68.97,-1.10,-10.8,-5.8,53.0
2001-04-03 08:09:00,GIM,1.42,66.67,0.77,-53.5,7.0,28.6
2001-04-03 08:09:00,PIN,1.34,60.56,3.84,-1.2,-20.7,15.2
2001-04-03 08:09:00,RAN,1.60,72.89,-7.77,1.3,31.6,19.5
2001-04-03 08:09:00,TAL,1.22,78.86,-17.12,17.5,30.2,3.6
2001-04-03 08:10:00,BLC,1.13,73.96,-1.39,16.8,19.8,34.7
2001-04-03 08:10:00,BSL,2.01,41.39,0.72,-7.7,0.5,8.0
2001-04-03 08:10:00,DLR,1.07,38.98,7.38,-8.8,1.1,7.5
2001-04-03 08:10:00,EKP,1.43,71.17,-2.61,34.6,5.8,31.7
2001-04-03 08:10:00,FCC,1.46,68.97,-1.10,-11.7,-5.1,46.0
2001-04-03 08:10:00,GIM,1.43,66.67,0.77,-54.5,9.0,29.9
2001-04-03 08:10:00,PIN,1.36,60.56,3.84,-2.0,-20.2,15.1
2001-04-03 08:10:00,RAN,1.62,72.89,-7.77,1.5,29.8,20.1
2001-04-03 08:10:00,TAL,1.23,78.86,-17.12,18.6,28.8,2.4
2001-04-03 08:11:00,BLC,1.15,73.96,-1.39,16.8,18.6,34.7
2001-04-03 08:11:00,BSL,2.03,41.39,0.72,-8.7,0.5,8.0
2001-04-03 08:11:00,DLR,1.08,38.98,7.38,-8.8,1.1,7.5
2001-04-03 08:11:00,EKP,1.44,71.17,-2.61,35.5,3.6,29.0
2001-04-03 08:11:00,FCC,1.48,68.97,-1.10,-8.6,-4.3,43.0
2001-04-03 08:11:00,GIM,1.45,66.67,0.77,-52.7,8.9,33.9
2001-04-03 08:11:00,PIN,1.37,60.56,3.84,-2.6,-20.1,15.1
2001-04-03 08:11:00,RAN,1.63,72.89,-7.77,0.6,29.1,19.7
2001-04-03 08:11:00,TAL,1.25,78.86,-17.12,19.0,29.0,2.1
2001-04-03 08:12:00,BLC,1.16,73.96,-1.39,14.8,19.3,36.7
2001-04-03 08:12:00,BSL,2.05,41.39,0.72,-8.7,0.5,8.0
2001-04-03 08:12:00,DLR,1.10,38.98,7.38,-8.8,1.1,7.5
2001-04-03 08:12:00,EKP,1.46,71.17,-2.61,33.6,2.8,28.2
2001-04-03 08:12:00,FCC,1.50,68.97,-1.10,-8.5,-1.5,37.0
2001-04-03 08:12:00,GIM,1.47,66.67,0.77,-48.2,8.6,33.1
2001-04-03 08:12:00,PIN,1.39,60.56,3.84,-2.8,-20.0,15.3
2001-04-03 08:12:00,RAN,1.65,72.89,-7.77,-1.0,29.8,19.5
2001-04-03 08:12:00,TAL,1.27,78.86,-17.12,19.2,30.4,2.1
2001-04-03 08:13:00,BLC,1.18,73.96,-1.39,15.7,22.1,37.6
2001-04-03 08:13:00,BSL,2.06,41.39,0.72,-8.7,0.5,8.0
2001-04-03 08:13:00,DLR,1.12,38.98,7.38,-8.8,1.1,6.5
2001-04-03 08:13:00,EKP,1.48,71.17,-2.61,36.4,3.7,28.7
2001-04-03 08:13:00,FCC,1.51,68.97,-1.10,-11.4,0.2,42.1
2001-04-03 08:13:00,GIM,1.48,66.67,0.77,-56.8,6.3,32.9
2001-04-03 08:13:00,PIN,1.41,60.56,3.84,-3.1,-20.0,15.5
2001-04-03 08:13:00,RAN,1.67,72.89,-7.77,-0.2,31.6,17.5
2001-04-03 08:13:00,TAL,1.28,78.86,-17.12,19.6,31.1,1.8
2001-04-03 08:14:00,BLC,1.20,73.96,-1.39,16.7,21.9,34.6
2001-04-03 08:14:00,BSL,2.08,41.39,0.72,-8.7,1.2,8.0
2001-04-03 08:14:00,DLR,1.13,38.98,7.38,-9.8,1.1,6.5
2001-04-03 08:14:00,EKP,1.49,71.17,-2.61,41.8,3.4,23.9
2001-04-03 08:14:00,FCC,1.53,68.97,-1.10,-0.3,4.1,42.1
2001-04-03 08:14:00,GIM,1.50,66.67,0.77,-39.6,14.7,22.9
2001-04-03 08:14:00,PIN,1.42,60.56,3.84,-3.3,-18.5,16.4
2001-04-03 08:14:00,RAN,1.68,72.89,-7.77,2.7,30.7,12.4
2001-04-03 08:14:00,TAL,1.30,78.86,-17.12,18.4,29.1,1.4
2001-04-03 08:15:00,BLC,1.21,73.96,-1.39,16.8,19.6,32.5
2001-04-03 08:15:00,BSL,2.10,41.39,0.72,-9.7,1.2,8.0
2001-04-03 08:15:00,DLR,1.15,38.98,7.38,-9.8,1.8,6.5
2001-04-03 08:15:00,EKP,1.51,71.17,-2.61,43.4,1.5,20.0
2001-04-03 08:15:00,FCC,1.55,68.97,-1.10,4.8,5.0,37.1
2001-04-03 08:15:00,GIM,1.52,66.67,0.77,-37.4,14.5,28.0
2001-04-03 08:15:00,PIN,1.44,60.56,3.84,-3.4,-18.4,16.4
2001-04-03 08:15:00,RAN,1.70,72.89,-7.77,3.4,28.3,8.9
2001-04-03 08:15:00,TAL,1.32,78.86,-17.12,17.8,26.1,0.9
2001-04-03 08:16:00,BLC,1.23,73.96,-1.39,15.9,18.3,31.5
2001-04-03 08:16:00,BSL,2.11,41.39,0.72,-9.7,1.2,8.0
2001-04-03 08:16:00,DLR,1.17,38.98,7.38,-9.8,1.8,6.5
2001-04-03 08:16:00,EKP,1.53,71.17,-2.61,44.4,0.9,17.4
2001-04-03 08:16:00,FCC,1.56,68.97,-1.10,8.9,6.8,34.2
2001-04-03 08:16:00,GIM,1.53,66.67,0.77,-34.9,15.8,29.3
2001-04-03 08:16:00,PIN,1.46,60.56,3.84,-3.6,-17.8,16.6
2001-04-03 08:16:00,RAN,1.72,72.89,-7.77,3.3,27.1,5.7
2001-04-03 08:16:00,TAL,1.33,78.86,-17.12,17.4,25.1,0.5
2001-04-03 08:17:00,BLC,1.25,73.96,-1.39,14.9,19.1,29.4
2001-04-03 08:17:00,BSL,2.13,41.39,0.72,-9.8,1.2,8.0
2001-04-03 08:17:00,DLR,1.18,38.98,7.38,-9.8,1.8,6.5
2001-04-03 08:17:00,EKP,1.54,71.17,-2.61,44.4,1.2,16.2
2001-04-03 08:17:00,FCC,1.58,68.97,-1.10,8.0,7.6,31.2
2001-04-03 08:17:00,GIM,1.55,66.67,0.77,-29.4,17.5,25.5
2001-04-03 08:17:00,PIN,1.47,60.56,3.84,-3.0,-17.3,17.0
2001-04-03 08:17:00,RAN,1.73,72.89,-7.77,3.2,26.9,3.4
2001-04-03 08:17:00,TAL,1.35,78.86,-17.12,16.8,25.1,0.1
2001-04-03 08:18:00,BLC,1.26,73.96,-1.39,14.9,19.8,28.4
2001-04-03 08:18:00,BSL,2.15,41.39,0.72,-9.8,1.9,8.0
2001-04-03 08:18:00,DLR,1.20,38.98,7.38,-10.9,1.8,6.5
2001-04-03 08:18:00,EKP,1.56,71.17,-2.61,44.2,0.7,16.4
2001-04-03 08:18:00,FCC,1.60,68.97,-1.10,6.1,7.3,29.3
2001-04-03 08:18:00,GIM,1.57,66.67,0.77,-27.8,18.6,24.3
2001-04-03 08:18:00,PIN,1.49,60.56,3.84,-2.8,-16.9,17.5
2001-04-03 08:18:00,RAN,1.75,72.89,-7.77,3.7,26.5,2.4
2001-04-03 08:18:00,TAL,1.37,78.86,-17.12,16.7,25.2,-0.4
2001-04-03 08:19:00,BLC,1.28,73.96,-1.39,15.9,19.6,28.3
2001-04-03 08:19:00,BSL,2.16,41.39,0.72,-9.8,1.9,8.1
2001-04-03 08:19:00,DLR,1.22,38.98,7.38,-9.9,1.8,6.5
2001-04-03 08:19:00,EKP,1.58,71.17,-2.61,45.3,1.3,19.3
2001-04-03 08:19:00,FCC,1.61,68.97,-1.10,-0.8,8.0,27.3
2001-04-03 08:19:00,GIM,1.58,66.67,0.77,-28.2,19.5,23.5
2001-04-03 08:19:00,PIN,1.50,60.56,3.84,-2.2,-16.6,17.8
2001-04-03 08:19:00,RAN,1.77,72.89,-7.77,5.3,26.6,2.6
2001-04-03 08:19:00,TAL,1.38,78.86,-17.12,17.0,24.8,-1.1
2001-04-03 08:20:00,BLC,1.30,73.96,-1.39,15.9,17.4,28.3
2001-04-03 08:20:00,BSL,2.18,41.39,0.72,-9.8,1.9,8.1
2001-04-03 08:20:00,DLR,1.23,38.98,7.38,-9.9,1.8,6.5
2001-04-03 08:20:00,EKP,1.59,71.17,-2.61,48.7,-0.4,18.8
2001-04-03 08:20:00,FCC,1.63,68.97,-1.10,1.3,6.8,35.4
2001-04-03 08:20:00,GIM,1.60,66.67,0.77,-31.3,18.1,25.0
2001-04-03 08:20:00,PIN,1.52,60.56,3.84,-2.0,-16.4,17.9
2001-04-03 08:20:00,RAN,1.78,72.89,-7.77,7.2,24.6,2.0
2001-04-03 08:20:00,TAL,1.40,78.86,-17.12,16.4,23.1,-1.5
2001-04-03 08:21:00,BLC,1.31,73.96,-1.39,16.0,15.2,28.2
2001-04-03 08:21:00,BSL,2.20,41.39,0.72,-9.8,2.6,8.1
2001-04-03 08:21:00,DLR,1.25,38.98,7.38,-9.9,1.8,6.5
2001-04-03 08:21:00,EKP,1.61,71.17,-2.61,48.6,-2.0,22.5
2001-04-03 08:21:00,FCC,1.65,68.97,-1.10,-1.6,4.6,31.5
2001-04-03 08:21:00,GIM,1.62,66.67,0.77,-29.2,17.7,26.2
2001-04-03 08:21:00,PIN,1.54,60.56,3.84,-1.8,-16.1,18.0
2001-04-03 08:21:00,RAN,1.80,72.89,-7.77,8.4,23.0,3.5
2001-04-03 08:21:00,TAL,1.42,78.86,-17.12,16.2,22.8,-2.1
2001-04-03 08:22:00,BLC,1.33,73.96,-1.39,16.0,14.9,27.2
2001-04-03 08:22:00,BSL,2.21,41.39,0.72,-9.8,2.6,8.1
2001-04-03 08:22:00,DLR,1.27,38.98,7.38,-9.9,1.8,6.5
2001-04-03 08:22:00,EKP,1.63,71.17,-2.61,47.7,-2.2,24.3
2001-04-03 08:22:00,FCC,1.66,68.97,-1.10,-1.5,4.4,28.5
2001-04-03 08:22:00,GIM,1.63,66.67,0.77,-25.7,17.7,25.6
2001-04-03 08:22:00,PIN,1.55,60.56,3.84,-1.6,-16.1,18.1
2001-04-03 08:22:00,RAN,1.81,72.89,-7.77,9.1,22.5,3.9
2001-04-03 08:22:00,TAL,1.43,78.86,-17.12,17.1,21.8,-3.1
2001-04-03 08:23:00,BLC,1.35,73.96,-1.39,18.1,14.7,26.1
2001-04-03 08:23:00,BSL,2.23,41.39,0.72,-9.8,2.6,8.1
2001-04-03 08:23:00,DLR,1.28,38.98,7.38,-9.9,2.5,6.5
2001-04-03 08:23:00,EKP,1.64,71.17,-2.61,51.9,-1.6,25.2
2001-04-03 08:23:00,FCC,1.68,68.97,-1.10,-2.4,4.1,29.6
2001-04-03 08:23:00,GIM,1.65,66.67,0.77,-27.0,18.5,27.3
2001-04-03 08:23:00,PIN,1.57,60.56,3.84,-1.5,-15.7,18.0
2001-04-03 08:23:00,RAN,1.83,72.89,-7.77,12.4,21.9,2.9
2001-04-03 08:23:00,TAL,1.45,78.86,-17.12,17.5,21.6,-4.3
2001-04-03 08:24:00,BLC,1.36,73.96,-1.39,18.1,15.5,25.1
2001-04-03 08:24:00,BSL,2.25,41.39,0.72,-9.8,2.6,8.1
