Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,N,E,Z
2001-04-03 08:24:00,DLR,1.30,38.98,7.38,-9.9,2.5,7.5
2001-04-03 08:24:00,EKP,1.66,71.17,-2.61,49.8,-1.5,25.7
2001-04-03 08:24:00,FCC,1.70,68.97,-1.10,-2.3,4.9,26.7
2001-04-03 08:24:00,GIM,1.67,66.67,0.77,-25.3,18.8,27.8
2001-04-03 08:24:00,PIN,1.59,60.56,3.84,-1.5,-15.4,18.0
2001-04-03 08:24:00,RAN,1.85,72.89,-7.77,13.3,22.1,2.5
2001-04-03 08:24:00,TAL,1.47,78.86,-17.12,17.3,22.2,-4.9
2001-04-03 08:25:00,BLC,1.38,73.96,-1.39,17.1,14.3,25.0
2001-04-03 08:25:00,BSL,2.26,41.39,0.72,-8.8,2.6,8.1
2001-04-03 08:25:00,DLR,1.32,38.98,7.38,-10.0,2.5,7.5
2001-04-03 08:25:00,EKP,1.68,71.17,-2.61,49.3,-2.0,31.2
2001-04-03 08:25:00,FCC,1.71,68.97,-1.10,-5.3,5.7,26.8
2001-04-03 08:25:00,GIM,1.68,66.67,0.77,-34.3,16.0,32.4
2001-04-03 08:25:00,PIN,1.60,60.56,3.84,-1.0,-15.6,17.9
2001-04-03 08:25:00,RAN,1.86,72.89,-7.77,14.5,20.8,4.9
2001-04-03 08:25:00,TAL,1.48,78.86,-17.12,17.7,21.6,-5.4
2001-04-03 08:26:00,BLC,1.40,73.96,-1.39,16.1,14.0,26.0
2001-04-03 08:26:00,BSL,2.28,41.39,0.72,-8.8,2.6,8.1
2001-04-03 08:26:00,DLR,1.33,38.98,7.38,-10.0,2.5,7.5
2001-04-03 08:26:00,EKP,1.69,71.17,-2.61,45.0,-4.3,34.4
2001-04-03 08:26:00,FCC,1.73,68.97,-1.10,-8.2,4.5,25.0
2001-04-03 08:26:00,GIM,1.70,66.67,0.77,-36.5,13.7,32.3
2001-04-03 08:26:00,PIN,1.62,60.56,3.84,-1.0,-15.3,18.0
2001-04-03 08:26:00,RAN,1.88,72.89,-7.77,13.9,18.6,7.3
2001-04-03 08:26:00,TAL,1.50,78.86,-17.12,17.5,21.2,-5.4
2001-04-03 08:27:00,BLC,1.41,73.96,-1.39,15.2,10.8,22.9
2001-04-03 08:27:00,BSL,2.30,41.39,0.72,-8.9,2.6,8.1
2001-04-03 08:27:00,DLR,1.35,38.98,7.38,-10.0,2.5,7.5
2001-04-03 08:27:00,EKP,1.71,71.17,-2.61,46.2,-7.9,40.6
